Card #,Number of POAPs,Card Tier,Card Title,Decription Text,Supply,Pastillas
1,15 POAPs,TIER 3,Rare Gem,"Reserved for the most dedicated collectors. Be one of the first 90 at the merch booth with 15+ POAPs. Or, join the raffle below to win 1 of the final 10 items.",100,FCFS & Raffle
2,10 POAPs,TIER 2,Premium Merch,Your middway reward into the Hunt. Collect 10 POAPs to reach this tier and unlock what lies beyond.,1000+,FCFS
3,5 POAPs,TIER 1,Basic Merch,Your first milestone in the hunt. A collector's exclusive for those who collect 5 POAPs.,1000+,FCFS
